vader_sentiment,flair_sentiment,uk_new_case,us_new_case,germany_rki_new_cases,mcx_stock,dji_stock,dax_stock
0.13349633,0.314984709,18978,63785,7334,24.89999962,28842.90039,12955.86035
0.0463176,0.338666667,15635,70256,7830,24.89999962,28842.90039,12955.86035
0.030671713,0.155378486,16171,56611,5587,24.89999962,28842.90039,12955.86035
0.096358562,0.164383562,16981,47843,4325,24.88899994,28711.92969,13028.73047
0.114416906,0.223021583,18803,60160,6868,24.86300087,28575.0293,12850.29004
0.110545223,0.267515924,21330,58549,7595,25.04000092,28450.64063,12765.0498
0.04885873,0.295238095,26687,62978,11287,25.03000069,28421.31055,12583.01953
0.047758766,0.233766234,21238,72058,11242,25.04000092,28436.51953,12718.26953
0.130822727,0.257575758,20531,85329,14714,25.04000092,28436.51953,12718.26953
0.111379897,0.298969072,23012,83056,11176,25.04000092,28436.51953,12718.26953
0.142897544,0.066666667,19790,59440,8685,25.04999924,28185.82031,12404.50977
0.118829252,0.0430839,20890,68359,11409,25.04999924,27707.68945,12223.59961
0.048875292,-0.038910506,22885,75129,14964,25.04999924,27102.14063,11852.01953
0.082720955,0.183023873,24700,78371,16774,25.04999924,26891.89063,11707.42969
-0.032571913,-0.349865117,23065,88130,18681,25.05999947,26639.17969,11614.12988
-0.023385368,-0.310083397,24405,101273,19059,25.05999947,26639.17969,11614.12988
-0.181046817,0.586206897,21915,78934,14177,25.05999947,26639.17969,11614.12988
0.069313043,0.188405797,23254,81001,12097,25.07500076,27043.48047,11838
0.11259662,0.228169014,18950,83883,15352,25.05500031,27640.21094,12088.98047
0.104547368,0.311740891,20018,92734,17214,25.04500008,28301.5,12329.95996
0.115601515,0.265151515,25177,102507,19990,25.05400085,28495.05078,12591.2998
-0.022315017,0.044368601,24138,122436,21506,25.05999947,28431.96094,12595.87012
0.026019915,0.245762712,23287,130623,23399,25.05999947,28431.96094,12595.87012
0.112504938,0.222222222,24957,121413,16017,25.05999947,28431.96094,12595.87012
0.105614676,-0.003412969,20572,110693,13363,25.05999947,29933.83008,13297.0498
0.106304487,0.25,21350,138901,15332,25.05999947,29478.85938,13237.58984
0.063697076,0.222222222,20412,147274,18487,25.05999947,29593.10938,13244.32031
0.03369623,-0.106503299,22950,143306,21866,25.06999969,29311.83008,13168.08984
0.055261538,-0.146426426,33470,153669,23542,25.05999947,29559.25,13145.48047
